id,name,measurement_unit
1,абрикосовое варенье,г
2,абрикосовое пюре,г
3,абрикосовый джем,г
4,абрикосовый сок,стакан
5,абрикосы,г
6,абрикосы консервированные,г
7,авокадо,по вкусу
8,агава сироп,г
9,агар-агар,г
10,аграм,г
11,аджика,г
12,аджика зеленая,г
13,айва,по вкусу
14,айвовое пюре,г
15,айран,г
16,айсинг,г
17,акула стейки,г
18,алкоголь,стакан
19,алкоголь крепкий,ст. л.
20,алыча,г
21,альбухара,шт.
22,альмехи,г
23,амарантовая мука,г
24,ананасовый сироп,г
25,ананасовый сок,г
26,ананасы,г
27,ананасы вяленые,г
28,ананасы консервированные,по вкусу
29,анис,по вкусу
30,анис звездочки,г
31,анисовый ликер,мл
32,анис семена,г
33,анчоусы,г
34,апельсиновая вода,г
35,апельсиновая цедра,г
36,апельсиновая эссенция,ч. л.
37,апельсиновое варенье,г
38,апельсиновые цукаты,г
39,апельсиновый джем,г
40,апельсиновый джем с имбирем,г
41,апельсиновый ликер,г
42,апельсиновый сироп,стакан
43,апельсиновый сок,по вкусу
44,апельсиновый сок свежевыжатый,г
45,апельсиновый уксус,ст. л.
46,апельсиновый экстракт,ч. л.
47,апельсины,г
48,апельсины красные,шт.
49,апельсины крупные,шт.
50,арахис,г
51,арахис жареный,г
52,арахисовая паста,г
53,арахисовое масло,г
54,арахис соленый,г
55,арбузная мякоть,г
56,арбузы,г
57,аргановое масло,г
58,аришта,г
59,ароматизатор,г
60,"ароматизатор ""ананас""",по вкусу
61,"ароматизатор ""вишня""",капля
62,"ароматизатор ""малина""",капля
63,"ароматизатор ""ром""",г
64,артишоки,г
65,артишоки в масле,г
66,артишоки маринованные,г
67,аспирин,шт.
68,ассорти мясное,г
69,ассорти овощное,г
70,ассорти фруктовое,г
71,ассорти ягодное,г
72,аши,г
73,багет,г
74,багет вчерашний,г
75,багет мини,г
76,бадан,звездочка
77,бадьян,щепотка
78,базилик лимонный,г
79,базилик свежий,г
80,базилик сушеный,г
